ID,Date,Content,Organization,Clarity,Performance
JL19FS004,20/07/2019,31,24,23,E
JL19FS021,20/07/2019,28,25,22,E
JL19FS032,20/07/2019,30,19,19,V
JL19FS054,20/07/2019,31,18,18,V
JL19FS031,20/07/2019,18,18,21,A
JL19FS040,20/07/2019,18,19,20,A
JL19FS030,20/07/2019,19,19,18,A
JL19FS001,20/07/2019,17,18,20,A
JL19FS015,20/07/2019,19,18,18,A
JL19FS026,20/07/2019,18,18,18,A
JL19FS047,20/07/2019,18,17,17,A
JL19FS059,20/07/2019,17,17,18,A
JL19FS033,20/07/2019,17,16,18,A
JL19FS045,20/07/2019,17,17,17,A
JL19FS003,20/07/2019,16,17,17,A
JL19FS028,20/07/2019,18,15,17,A
JL19FS022,20/07/2019,18,15,15,P
JL19FS013,20/07/2019,17,14,15,P
JL19FS053,20/07/2019,17,11,17,P
JL19FS012,20/07/2019,17,14,13,P
JL19FS023,20/07/2019,17,14,11,P
JL19FS005,20/07/2019,16,13,12,P
JL19FS010,20/07/2019,16,13,12,P
JL19FS018,20/07/2019,16,12,13,P
JL19FS024,20/07/2019,16,12,12,P
JL19FS051,20/07/2019,14,13,13,P
JL19FS056,20/07/2019,16,12,12,P
JL19FS025,20/07/2019,16,12,11,P
JL19FS060,20/07/2019,16,12,11,P
JL19FS002,20/07/2019,10,14,14,P
JL19FS063,20/07/2019,14,12,12,P
JL19FS034,20/07/2019,12,12,13,P
JL19FS041,20/07/2019,13,12,12,P
JL19FS014,20/07/2019,16,12,8,P
JL19FS027,20/07/2019,14,11,11,P
JL19FS029,20/07/2019,12,11,13,P
JL19FS039,20/07/2019,16,12,8,P
JL19FS043,20/07/2019,16,12,8,P
JL19FS044,20/07/2019,16,12,8,P
JL19FS046,20/07/2019,16,13,7,P
JL19FS050,20/07/2019,16,12,8,P
JL19FS008,20/07/2019,16,11,8,P
JL19FS009,20/07/2019,16,11,8,P
JL19FS020,20/07/2019,11,12,12,P
JL19FS062,20/07/2019,13,11,11,P
JL19FS006,20/07/2019,16,11,7,U
JL19FS037,20/07/2019,16,11,7,U
JL19FS064,20/07/2019,16,11,7,U
JL19FS017,20/07/2019,12,11,10,U
JL19FS049,20/07/2019,11,11,11,U
JL19FS036,20/07/2019,16,8,8,U
JL19FS007,20/07/2019,11,11,8,U
JL19FS016,20/07/2019,11,11,8,U
JL19FS048,20/07/2019,10,11,8,U
JL19FS035,20/07/2019,11,8,8,U
JL19FS042,20/07/2019,8,8,9,U
JL19FS038,20/07/2019,10,8,6,U
JL19FS061,20/07/2019,7,7,7,U
JL19FS055,20/07/2019,7,6,6,U
